Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Batec.Azure.Data.Extensions.Common\src\Batec.Azure.Data.Extensions.Common.csproj,File,Batec.Azure.Data.Extensions.Common\src\Batec.Azure.Data.Extensions.Common.csproj,,,,,,,,Current target framework: net462;netstandard2.0 Recommended target framework: net462;netstandard2.0;net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Batec.Azure.Data.Extensions.Common\tests\Batec.Azure.Data.Extensions.Common.Tests.csproj,File,Batec.Azure.Data.Extensions.Common\tests\Batec.Azure.Data.Extensions.Common.Tests.csproj,,,Microsoft.Extensions.DependencyInjection 7.0.0,,,,,"Microsoft.Extensions.DependencyInjection, 7.0.0  Recommendation:  Remove Microsoft.Extensions.DependencyInjection, and replace with new package Microsoft.Extensions.DependencyInjection 10.0.11"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,Batec.Azure.Data.Extensions.Common\tests\Batec.Azure.Data.Extensions.Common.Tests.csproj,File,Batec.Azure.Data.Extensions.Common\tests\Batec.Azure.Data.Extensions.Common.Tests.csproj,,,System.ValueTuple 4.5.0,,,,,"System.ValueTuple, 4.5.0  Recommendation:  Package functionality included with new framework reference"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Batec.Azure.Data.Extensions.Common\tests\Batec.Azure.Data.Extensions.Common.Tests.csproj,File,Batec.Azure.Data.Extensions.Common\tests\Batec.Azure.Data.Extensions.Common.Tests.csproj,,,,,,,,Current target framework: net7.0;net6.0 Recommended target framework: net7.0;net6.0;net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Batec.Azure.Data.Extensions.MySqlConnector\src\Batec.Azure.Data.Extensions.MySqlConnector.csproj,File,Batec.Azure.Data.Extensions.MySqlConnector\src\Batec.Azure.Data.Extensions.MySqlConnector.csproj,,,,,,,,Current target framework: net462;netstandard2.0 Recommended target framework: net462;netstandard2.0;net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Batec.Azure.Data.Extensions.MySqlConnector\tests\Batec.Azure.Data.Extensions.MySqlConnector.Tests.csproj,File,Batec.Azure.Data.Extensions.MySqlConnector\tests\Batec.Azure.Data.Extensions.MySqlConnector.Tests.csproj,,,Microsoft.Extensions.DependencyInjection 7.0.0,,,,,"Microsoft.Extensions.DependencyInjection, 7.0.0  Recommendation:  Remove Microsoft.Extensions.DependencyInjection, and replace with new package Microsoft.Extensions.DependencyInjection 10.0.11"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,Batec.Azure.Data.Extensions.MySqlConnector\tests\Batec.Azure.Data.Extensions.MySqlConnector.Tests.csproj,File,Batec.Azure.Data.Extensions.MySqlConnector\tests\Batec.Azure.Data.Extensions.MySqlConnector.Tests.csproj,,,System.ValueTuple 4.5.0,,,,,"System.ValueTuple, 4.5.0  Recommendation:  Package functionality included with new framework reference"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Batec.Azure.Data.Extensions.MySqlConnector\tests\Batec.Azure.Data.Extensions.MySqlConnector.Tests.csproj,File,Batec.Azure.Data.Extensions.MySqlConnector\tests\Batec.Azure.Data.Extensions.MySqlConnector.Tests.csproj,,,,,,,,Current target framework: net7.0;net6.0 Recommended target framework: net7.0;net6.0;net10.0
NuGet.0004,NuGet package contains security vulnerability,Active,Optional,1,Batec.Azure.Data.Extensions.Npgsql\src\Batec.Azure.Data.Extensions.Npgsql.csproj,File,Batec.Azure.Data.Extensions.Npgsql\src\Batec.Azure.Data.Extensions.Npgsql.csproj,,,Npgsql 7.0.4,,,,,"Npgsql, 7.0.4  Recommendation:  Npgsql, 10.0.3"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Batec.Azure.Data.Extensions.Npgsql\src\Batec.Azure.Data.Extensions.Npgsql.csproj,File,Batec.Azure.Data.Extensions.Npgsql\src\Batec.Azure.Data.Extensions.Npgsql.csproj,,,,,,,,Current target framework: net462;netstandard2.0 Recommended target framework: net462;netstandard2.0;net10.0
